Year,USA ,China,Japan,Germany,Russia,UK
1800,252816,0,0,795088,,26633616
1801,267472,0,0,534944,,26710560
1802,289456,0,0,553264,,26849792
1803,296784,0,0,534944,,30191360
1804,333424,0,0,1007600,,30330592
1805,340752,0,0,1040576,,31462768
1806,333424,0,0,937984,,33250800
1807,377392,0,0,2689376,,33258128
1808,392048,0,0,897680,,33269120
1809,403040,0,0,930656,,33280112
1810,417696,0,0,978288,,33291104
1811,447008,0,0,926992,,35562784
1812,483648,0,0,912336,,36936784
1813,520288,0,0,890352,,37376464
1814,560592,0,0,883024,,38087280
1815,600896,0,0,1029584,,38922672
1816,663184,0,0,2385264,,41436176
1817,718144,0,0,3381872,,41923488
1818,780432,0,0,3532096,,42022416
1819,762112,0,0,3275616,,42337520
1820,791424,0,0,3381872,,42528048
1821,828064,0,0,3532096,,42872464
1822,864704,0,0,3631024,,44521264
1823,901344,0,0,4034064,,46873552
1824,1014928,0,0,3231648,,49082944
1825,1135840,0,0,4338176,,49592240
1826,1315376,0,0,4187952,,50145504
1827,1447280,0,0,4539696,,52230320
1828,1593840,0,0,4539696,,52589392
1829,1795360,0,0,3631024,,53336848
1830,2088480,0,0,4792512,,67864608
1831,2264352,0,0,4590992,,65765136
1832,3022800,0,0,3447824,,65589264
1833,3528432,0,0,4378480,,65494000
1834,3381872,0,0,4411456,,65537968
1835,4316192,0,0,4931744,,65263168
1836,4730224,0,0,5191888,,76445696
1837,5305472,0,0,5950336,,73770976
1838,5030672,0,0,6631840,,75811824
1839,5517984,0,0,7020224,,77779392
1840,5873392,0,0,9174656,,80959744
1841,6214144,0,0,9548384,,81839104
1842,6917632,0,0,10882080,,85371200
1843,7764016,0,0,10299504,,89093824
1844,9306560,0,0,10882080,,93472304
1845,11204512,0,0,12611488,,99986896
1846,12710416,0,0,13186736,,95692688
1847,15070032,0,0,13838928,,103548304
1848,16784784,0,0,12827664,,109286128
1849,18221072,0,0,13622752,,116005904
1850,19792928,0,0,15139648,,122604768
1851,24633072,0,0,16869056,,116654432
1852,26791168,0,0,19173712,,116240400
1853,30162048,0,0,20760224,,115599200
1854,33159200,0,0,24365600,,139301616
1855,38160560,0,0,28615840,,130442064
1856,40036528,0,0,30924160,,140375168
1857,41055120,0,0,32939360,,137861664
1858,41648688,0,0,35610416,,135113664
1859,45320016,0,0,33807728,,150011488
1860,47437808,0,0,36394512,,167950432
1861,45679088,0,0,41329920,,175047600
1862,47448800,0,0,45539856,,169470992
1863,54809776,0,0,49383392,,180224832
1864,58656976,0,0,56641776,,193909872
1865,58821856,0,0,63467808,,205488112
1866,59232224,0,0,62907216,,211731568
1867,72865968,0,0,69154336,,217374128
1868,82352064,0,10992,74368208,,213219152
1869,93695808,0,18320,77592528,,223705520
1870,98620224,0,18320,76639888,,228494368
1871,103020688,0,25648,85349216,,242036512
1872,126305408,0,32976,92109296,,254988752
1873,139506800,0,40304,98367408,,264658048
1874,134296592,0,586240,71594560,,257187152
1875,135747536,0,1439952,101518448,,271487744
1876,132820000,0,1403312,103438384,,271018752
1877,147175552,0,1289728,101302272,,275899200
1878,143903600,0,1857648,104544912,,270974784
1879,175468960,0,2315648,110846992,,272645568
1880,198684064,0,2348624,124502720,,297124752
1881,210192688,0,2414576,134263616,,312312032
1882,235393680,0,2513504,143665440,,314964768
1883,253882224,0,2711360,153092912,,327730144
1884,267589248,0,2956848,157526352,,319097760
1885,272161920,0,3348896,161183024,,315290864
1886,287462784,0,3605376,163033344,,312429280
1887,307380288,0,4473744,170390656,,320442448
1888,373874560,0,5169904,186347376,,333167520
1889,335541792,0,6254448,198848944,,345024224
1890,401746608,0,6756416,208232448,,353022736
1891,427423920,0,8123088,220840272,,360471648
1892,450448496,0,8075456,214988864,,353008080
1893,454094176,0,8573760,220712032,,316210528
1894,425049648,0,11024976,229498304,,362102128
1895,479947360,0,12226768,238284576,,365549952
1896,480881680,0,12915600,256260160,,375981360
1897,500286224,0,13542144,273554240,,385969424
1898,545320448,0,17246448,285377968,,386878096
1899,625532736,0,17272096,303283936,,414552288
1900,662736992,0,19411872,326759184,,419740512
1901,721525872,0,23273728,325557392,,410701424
1902,764493600,95264,24944512,319189360,,426639824
1903,894404384,1963904,25787232,343598928,,429985056
